player_id,minutes,player_name
27174,4953,Willer Emilio Ditta Pérez
29597,4538,Jaine Stiven Barreiro Solis
29078,4491,José Luis Caicedo Barrera
43622,4453,Erik Antonio Lira Méndez
359504,4428,Eduardo Águila Castro
33126,4417,Israel Reyes Romero
27153,4399,Javier Ignacio Aquino Carmona
33097,4290,Salvador Reyes Chávez
26774,4281,Rodrigo Dourado Cunha
29051,4269,Jorge Agustín Rodríguez
26329,4253,Marcel Alejandro Ruiz Suárez
44068,4232,Nathanael Ananias da Silva
28873,4153,Gonzalo Rubén Piovi
26345,4152,John Stefan Medina Ramírez
48924,4128,Bryan Alonso González Olivan
27896,4066,Gerardo Daniel Arteaga Zamora
136926,4010,Pablo Bennevendo Peña
37360,3918,Andrés Federico Pereira Castelnoble
6612,3756,Rubén Duarte Sánchez
4418,3744,Matheus Dória Macedo
26406,3702,Jorge Eduardo Sánchez Ramos
122902,3629,Joaquim Henrique Pereira Silva
26324,3613,Aldo Paul Rocha González
26289,3561,Javier Güemez López
26386,3554,Luis Francisco Romo Barrón
36167,3531,Ramón Juárez Del Castillo
30726,3505,José Javier Abella Fanjul
111731,3450,Jesús Gilberto Orozco Chiquete
30024,3402,Jesús Alejandro Gómez Molina
25097,3285,Gustavo Henrique Ferrareis
32916,3270,Diego Eduardo De Buen Juárez
28423,3264,Jesús Alberto Angulo Uriarte
35036,3246,Efraín Orona Zavala
27902,3227,Manuel Alejandro Mayorga Almaráz
27967,3224,Unai Bilbao Arteta
43477,3218,Bryan Colula Alarcón
28425,3184,Hugo Martín Nervo
28538,3182,José Ignacio Rivero Segade
42479,3159,Guilherme Castilho Carvalho
330534,3152,Ralph Orquin
47213,3144,José Castillo Pérez
274864,3121,Paul Bellón Saracho
48870,3076,Moises Castillo Mosquera
31312,3037,Aldo Jafid Cruz Sánchez
23428,3034,Cristian Alexis Borja González
34581,3031,Sergio Damián Barreto
33113,3014,Facundo Ezequiel Almada
25135,3009,Luan Garcia Teixeira
274998,2979,Diego Campillo Del Campo
15872,2954,Érick Gabriel Gutiérrez Galaviz
26361,2915,Jordan Steeven Sierra Flores
26268,2914,Alexis Francisco Peña López
296106,2827,Rafael Eduardo Fernández Inzunza
34347,2820,Ángel Jeremy Márquez Castañeda
37916,2809,Agustín Oliveros Cano
26312,2805,Cristian Yonathan Calderón Del Real
122925,2799,Eduardo Gabriel dos Santos Bauermann
28540,2746,Omar Israel Mendoza Martín
31315,2742,Gilberto Sepúlveda López
35690,2729,Sebastián Enzo Cáceres Ramos
52290,2710,Daniel Alonso Aceves Patiño
26258,2696,Brayan Alexis Angulo León
31750,2694,Robert Ismael Ergas Moreno
43553,2648,Emanuel Gularte Méndez
43476,2644,Victor Andrés Guzmán Olmedo
26341,2626,Fernando Rubén González Pineda
50649,2625,Bruno Amione
25502,2617,Bruno Méndez Cittadini
30635,2607,Francisco Eduardo Venegas Moreno
25596,2603,Franco Matías Russo Panos
130953,2581,Nelson Alexander Deossa Suárez
6715,2555,Guido Hernán Pizarro
35738,2544,Rodrigo Eduardo Echeverría Sáez
404015,2515,Víctor Hugo Ríos de Alba
276020,2507,José Raúl Zúñiga Murillo
51969,2447,Jackson Gabriel Porozo Vernaza
41777,2421,Emilio Lara Contreras
31462,2418,José Iván Rodríguez Rebollar
30572,2413,Federico Eduardo Lértora
198802,2387,Pedro Pedraza Reyna
31975,2375,Lucas Gabriel Merolla
412577,2351,Emmanuel Ricardo Echeverría Mata
26332,2325,Luis Enrique Quiñónes
28766,2302,Luis Ricardo Reyes Moreno
32979,2283,Fidel Daniel Ambríz González
75131,2281,Gaddi Axel Aguirre Ledesma
234320,2272,Nicolas Fonseca
27948,2261,Kevin Rafael Escamilla Moreno
23263,2220,Lisandro Magallán
28560,2188,Jair Alberto Díaz Vázquez
131162,2169,José Juan García Manríquez
28419,2154,Diego Armando Barbosa Zaragoza
29265,2143,Alan Jhosué Cervantes Martín del Campo
87600,2076,José María Canale Domínguez
275842,2072,Aaron Mejía Montoya
52104,2000,Franco Agustín Romero
26327,1989,Julio César Domínguez Juárez
26354,1937,Edson Antonio Gutiérrez Moreno
5985,1917,Jesús Manuel Corona Ruíz
5573,1905,Héctor Alfredo Moreno Herrera
37539,1894,Romulo Zanre Zwarg
5738,1876,Anderson Santamaría Bardales
16539,1874,Diego Antonio Reyes Rosales
27354,1856,Kevin Alexander Balanta Lucumí
424910,1852,Juan Manuel Fedorco
399885,1842,Jose Rodrigo Pachuca Martinez
36144,1841,Nicolás Andrés Díaz Huincales
5201,1788,Sergio Ramos García
26317,1776,Adrián Mora Barraza
32713,1743,Juan José Sánchez Purata
337616,1737,Óscar Gibram Manzanarez Pérez
23899,1718,Frank Boya
