team_name,player_name,player_full_name,GM,Min,Age,player_position,games_by_team,minutes_played_by_team,minutes_played_percentage,total_gross_salary,signed,contract_expiration,season,transfer_window,club_id_tmkt,player_id,transfer_price,contract_length_years,player_annual_fee,player_annual_cost,team_total_salary,team_total_fees,team_total_cost,player_annual_cost_percentage
Monterrey,J. Rodríguez,Jorge Rodríguez,33,2413,30,Central Midfielder,36,3240,0.74,2460000.0,29-08-2025,30-06-2027,,,,,,2.0,,2460000,47650000.0,10834167,61864167,0.04
Club América,C. Borja,Cristián Borja,30,2393,32,Left Back,35,3150,0.76,700000.0,19-07-2024,30-06-2026,,,,,,2.0,,700000,39090000.0,25266667,64356667,0.011
Pumas UNAM,P. Bennevendo,Pablo Bennevendo,28,2392,25,Right Back,32,2880,0.83,190000.0,01-07-2022,30-06-2026,,,,,,4.0,,190000,12860000.0,5755000,18615000,0.01
Toluca,A. Vega,Alexis Vega,31,2390,27,Left Attacking Midfielder,34,3060,0.78,1500000.0,18-01-2024,30-06-2026,,,,,,2.0,,1500000,25380000.0,25421667,50801667,0.03
Tigres UANL,D. Lainez,Diego Lainez,31,2375,25,Right Attacking Midfielder,37,3330,0.71,2300000.0,01-08-2023,30-06-2027,,,,,,4.0,,2300000,36450000.0,10285834,46735834,0.049
Juárez,D. García,Denzell García,27,2374,22,Right Back,28,2520,0.94,380000.0,01-01-2023,30-06-2026,,,,,,3.0,,380000,12850000.0,5433333,18283333,0.021
Monterrey,S. Medina,Stefan Medina,31,2369,33,Right Centre Back,36,3240,0.73,900000.0,20-07-2021,31-12-2025,,,,,,4.0,,900000,47650000.0,10834167,61864167,0.015
Pumas UNAM,A. Carrasquilla,Adalberto Carrasquilla,32,2357,26,Central Midfielder,32,2880,0.82,1150000.0,16-01-2025,31-12-2027,24/25,Invierno europeo,7633.0,375300.0,3400000.0,2.0,1700000.0,2850000,12860000.0,5755000,18615000,0.153
Toluca,J. Gallardo,Jesús Gallardo,29,2353,31,Left Back,34,3060,0.77,1240000.0,01-07-2024,30-06-2027,24/25,Verano europeo,1804.0,344854.0,4700000.0,3.0,1566667.0,2806667,25380000.0,25421667,50801667,0.055
Toluca,Paulinho,Paulinho,30,2325,33,Centre Forward,34,3060,0.76,7040000.0,01-07-2024,30-06-2026,24/25,Verano europeo,1804.0,211072.0,7750000.0,2.0,3875000.0,10915000,25380000.0,25421667,50801667,0.215
Pachuca,E. Montiel,Elías Montiel,27,2324,20,Defensive Midfielder,32,2880,0.81,230000.0,01-07-2023,30-06-2026,,,,,,3.0,,230000,18330000.0,0,18330000,0.013
Monterrey,Sergio Ramos,Sergio Ramos,26,2314,39,Left Centre Back,36,3240,0.71,4600000.0,06-02-2025,31-12-2025,,,,,,0.0,,10400000,47650000.0,10834167,61864167,0.168
Necaxa,K. Rosero,Kevin Rosero,27,2298,26,Right Midfielder,29,2610,0.88,210000.0,01-07-2024,30-06-2027,24/25,Verano europeo,1146.0,630032.0,200000.0,3.0,66667.0,276667,8700000.0,6121867,14821867,0.019
Cruz Azul,I. Rivero,Ignacio Rivero,31,2285,33,Central Midfielder,35,3150,0.73,530000.0,01-07-2021,30-06-2026,,,,,,5.0,,530000,23380000.0,28637500,52017500,0.01
Pumas UNAM,Nathan Silva,Nathanael Ananias da Silva,26,2270,28,Right Centre Back,32,2880,0.79,680000.0,01-07-2023,30-06-2027,,,,,,4.0,,680000,12860000.0,5755000,18615000,0.037
Guadalajara,L. Romo,Luis Romo,26,2264,30,Central Midfielder,30,2700,0.84,1330000.0,11-01-2025,30-06-2026,24/25,Invierno europeo,6711.0,532938.0,6300000.0,1.0,6300000.0,7630000,27200000.0,22351667,49551667,0.154
León,S. Reyes,Salvador Reyes,26,2256,27,Left Back,28,2520,0.9,960000.0,01-07-2024,30-06-2026,24/25,Verano europeo,4941.0,557070.0,2000000.0,2.0,1000000.0,1960000,18000000.0,10275833,28275833,0.069
León,S. Barreiro,Stiven Barreiro,25,2243,31,Right Centre Back,28,2520,0.89,560000.0,10-12-2020,31-05-2026,,,,,,6.0,,560000,18000000.0,10275833,28275833,0.02
Monterrey,Óliver Torres,Óliver Torres,31,2241,31,Central Midfielder,36,3240,0.69,5630000.0,01-07-2024,30-06-2027,,,,,,3.0,,5070000,47650000.0,10834167,61864167,0.082
Atlético San Luis,E. Águila,Eduardo Águila,25,2238,23,Left Centre Back,26,2340,0.96,130000.0,20-07-2020,30-06-2025,,,,,,5.0,,130000,8040000.0,1600000,9640000,0.013
Tigres UANL,Rômulo,Rômulo,28,2225,25,Right Centre Back,37,3330,0.67,1280000.0,31-12-2024,31-12-2027,24/25,Invierno europeo,7055.0,687359.0,5000000.0,3.0,1666667.0,2946667,36450000.0,10285834,46735834,0.063
León,R. Echeverría,Rodrigo Echeverría,25,2221,30,Defensive Midfielder,28,2520,0.88,800000.0,22-01-2025,31-12-2027,24/25,Invierno europeo,4941.0,265726.0,4320000.0,2.0,2160000.0,2960000,18000000.0,10275833,28275833,0.105
