team_name,player_name,minutes_played_percentage,player_annual_cost_percentage,talent_cost_utilization_per_player
Pumas UNAM,S. Venegas,0.02,0.0,0.0
Puebla,J. Cortés,0.02,0.0,0.0
Tijuana,J. González,0.02,0.0,0.0
Querétaro,B. Rubio,0.02,0.0,0.0
Puebla,Á. Araos,0.02,0.032,0.00064
Pachuca,J. Brígido,0.01,0.0,0.0
Juárez,L. Silva,0.02,0.0,0.0
Tijuana,F. Madrigal,0.01,0.0,0.0
Puebla,Á. Robles,0.01,0.002,2e-05
Pumas UNAM,E. Villaseñor,0.01,0.0,0.0
Querétaro,L. Gutiérrez,0.02,0.013,0.00026
Tijuana,A. Valenzuela,0.01,0.0,0.0
Juárez,S. Abdullahi,0.01,0.0,0.0
Mazatlán,R. Camacho,0.01,0.0,0.0
Atlético San Luis,F. Barajas,0.01,0.036,0.00035999999999999997
Monterrey,L. Basulto,0.01,0.0,0.0
Puebla,L. Cavallini,0.01,0.071,0.0007099999999999999
Cruz Azul,C. Vargas,0.01,0.007,7.000000000000001e-05
Atlético San Luis,J. Villal,0.01,0.009,8.999999999999999e-05
Club América,D. Arriaga,0.01,0.0,0.0
Club América,R. Sánchez,0.01,0.088,0.0008799999999999999
Juárez,A. Méndez,0.01,0.0,0.0
Atlético San Luis,J. González,0.01,0.035,0.00035000000000000005
Santos Laguna,P. Aquino,0.01,0.0,0.0
Querétaro,B. El-mesmari,0.01,0.018,0.00017999999999999998
Pumas UNAM,M. Torres,0.01,0.0,0.0
Tigres UANL,F. Ordóñez,0.01,0.004,4e-05
Monterrey,F. Valenzuela,0.01,0.0,0.0
Cruz Azul,A. García,0.01,0.005,5e-05
Santos Laguna,R. Rubio,0.01,0.0,0.0
Puebla,M. González,0.01,0.08,0.0008
Juárez,D. Martínez,0.01,0.043,0.00043
Necaxa,D. Gómez,0.01,0.009,8.999999999999999e-05
Juárez,J. Álvarez,0.01,0.0,0.0
Atlético San Luis,João Lourenço,0.01,0.0,0.0
Tijuana,Jesús Corona,0.01,0.039,0.00039
