player_id,player_name,team_name,matches,minutes,primary_position,primary_position_share,Score_CompromisoDef,Score_Desequilibrio,Score_Finalizacion,Score_ZonaInfluencia,Score_Overall,Flag_CompromisoDef,Flag_Desequilibrio,Flag_Finalizacion,Flag_ZonaInfluencia,Flags,lane_bias_index,lane_influence_side,Lane_Profile
15452,Carlos Uriel Antuna Romero,"Cruz Azul, Tigres UANL",10.0,690.0,Right Wing,0.6681159420289855,71.71945701357467,81.02943568059847,81.44230769230768,99.32692307692307,82.03592466015516,True,True,True,True,Compromiso Def | Desequilibrio | Finalización | Zona Influencia,-0.1899473865177125,Exterior,Exterior (Moderado)
390511,Jonathan Yael Padilla Sandoval,Guadalajara,9.0,604.0,Right Wing,0.2516556291390728,77.60180995475113,54.86512034477151,79.71153846153845,48.55769230769231,65.92026949623563,True,False,True,False,Compromiso Def | Finalización,-0.9999999866597108,Exterior,Exterior (Marcado)
41268,Luka Romero Bezzana,Cruz Azul,8.0,513.0,Right Wing,0.4483430799220272,80.42986425339367,77.00794844690192,58.076923076923066,33.84615384615385,65.5387548070944,True,True,False,False,Compromiso Def | Desequilibrio,0.9999999769338952,Interior,Interior (Marcado)
25342,Helio Junio Nunes de Castro,Toluca,8.0,592.0,Right Wing,0.7212837837837838,64.93212669683258,68.16496756255792,64.13461538461539,61.25,65.2720486016464,False,True,False,False,Desequilibrio,-0.9999999909922328,Exterior,Exterior (Marcado)
26301,Ernesto Alexis Vega Rojas,Toluca,39.0,3206.0,Left Wing,0.417654398003743,39.14027149321267,58.518661570987156,73.26923076923077,92.3076923076923,64.1365089254111,False,False,True,True,Finalización | Zona Influencia,-0.1055039613900072,Exterior,Exterior (Mixto)
161874,Marcelo Flores,Tigres UANL,11.0,743.0,Left Wing,0.531628532974428,73.98190045248869,63.95653764839811,62.21153846153846,51.15384615384615,63.517706728975526,True,True,False,False,Compromiso Def | Desequilibrio,-0.9999999891665992,Exterior,Exterior (Marcado)
30736,Paul Brian RodrÃ­guez Bravo,AmÃ©rica,22.0,1690.0,Left Wing,0.4100591715976331,36.76470588235294,57.601845828590015,89.32692307692308,40.57692307692308,60.39820260109247,False,False,True,False,Finalización,-0.9999999807082472,Exterior,Exterior (Marcado)
5985,JesÃºs Manuel Corona RuÃ­z,Monterrey,18.0,1217.0,Left Wing,0.3582580115036976,73.41628959276018,60.16171328671328,62.40384615384616,38.84615384615384,60.2879344919786,True,False,False,False,Compromiso Def,-0.999999974058819,Exterior,Exterior (Marcado)
389205,Ramiro Ãrciga ZÃ¡rate,"MazatlÃ¡n, Tijuana",13.0,943.0,Right Wing,0.3404029692470838,71.83257918552037,68.89280777362174,25.673076923076927,92.88461538461539,60.11361394248707,True,True,False,True,Compromiso Def | Desequilibrio | Zona Influencia,-0.2472522471111957,Exterior,Exterior (Moderado)
146649,Jorge Ruvalcaba,Pumas UNAM,18.0,1233.0,Left Wing,0.2733171127331711,69.34389140271495,46.2234712961457,86.44230769230768,25.192307692307693,59.758531695732444,True,False,True,False,Compromiso Def | Finalización,-0.9999999753267718,Exterior,Exterior (Marcado)
42545,Mateusz Bogusz,Cruz Azul,11.0,840.0,Left Wing,0.2702380952380952,65.27149321266968,43.971072532119045,68.65384615384616,67.01923076923076,59.09321249031406,False,False,True,False,Finalización,-0.0901012453255696,Exterior,Exterior (Mixto)
27356,NicolÃ¡s Benedetti Roa,MazatlÃ¡n,14.0,1154.0,Right Wing,0.5311958405545927,44.909502262443446,58.42108472922427,53.84615384615385,89.03846153846153,58.93889549233256,False,False,False,True,Zona Influencia,-0.209798511619325,Exterior,Exterior (Moderado)
35477,Cade Dylan Cowell,Guadalajara,13.0,1005.0,Left Wing,0.4587064676616915,56.90045248868778,43.814034802406894,78.07692307692308,56.15384615384615,58.56115652473382,False,False,True,False,Finalización,-0.8497733112729009,Exterior,Exterior (Marcado)
15880,Emiliano Ariel Rigoni,LeÃ³n,7.0,454.0,Left Wing,0.4471365638766519,59.04977375565612,55.59389738168808,53.36538461538461,70.96153846153845,57.9216649885682,False,False,False,True,Zona Influencia,-0.3027319978729145,Exterior,Exterior (Moderado)
422651,Hugo Camberos Figueroa,"Guadalajara, Toluca",10.0,734.0,Right Midfield,0.4223433242506812,74.09502262443439,63.94810009267841,40.67307692307692,52.21153846153847,57.23449340347817,True,True,False,False,Compromiso Def | Desequilibrio,-0.9999999917286112,Exterior,Exterior (Marcado)
30458,Alejandro Zendejas Saavedra,AmÃ©rica,36.0,3086.0,Right Wing,0.3609850939727803,41.289592760181,49.61934867458123,70.09615384615384,67.11538461538461,56.72084443429347,False,False,True,False,Finalización,-0.1297168952111096,Exterior,Exterior (Mixto)
8357,Oussama Idrissi,Pachuca,31.0,2601.0,Left Wing,0.8731257208765859,49.0950226244344,69.04984550333387,34.32692307692308,77.40384615384615,55.89510429720758,False,True,False,True,Desequilibrio | Zona Influencia,-0.1402117592668176,Exterior,Exterior (Mixto)
23736,EfraÃ­n Ãlvarez,Tijuana,28.0,2379.0,Right Wing,0.5868011769651114,36.87782805429865,67.8377581720605,41.92307692307692,80.67307692307692,55.79666558646552,False,True,False,True,Desequilibrio | Zona Influencia,-0.7337539587865258,Exterior,Exterior (Marcado)
27761,Domingo Felipe Blanco,Tijuana,16.0,1183.0,Left Wing,0.3702451394759087,63.34841628959276,63.70700520409822,47.40384615384615,41.63461538461538,55.43348123319908,False,True,False,False,Desequilibrio,-0.99999998828067,Exterior,Exterior (Marcado)
