player_name,team_name,minutes,matches,Score_Overall,Score_AccionDefensiva,Score_ControlDefensivo,Score_Progresion,Score_ImpactoOfensivo,Flags
Israel Reyes Romero,América,1516.0,16.0,75.48939460841808,50.209279113944426,86.39455782312925,83.19444444444444,74.2063492063492,Control Def | Progresión | Ofensivo
Daniel Aguirre,Guadalajara,686.0,8.0,70.52815570672713,36.455026455026456,89.3424036281179,68.25396825396824,75.59523809523809,Control Def | Ofensivo
Gonzalo Rubén Piovi,Cruz Azul,1349.0,16.0,70.04625068418171,26.819923371647505,87.3015873015873,84.96031746031747,70.63492063492063,Control Def | Progresión | Ofensivo
Romulo Zanre Zwarg,Tigres UANL,2011.0,21.0,68.68807408020679,76.91329405325348,73.92290249433107,61.62698412698413,38.69047619047619,Acción Def | Control Def
Sergio Damián Barreto,Pachuca,1628.0,17.0,68.49486346262641,71.4977945201069,79.13832199546485,54.901960784313715,40.27777777777778,Acción Def | Control Def
Sebastián Enzo Cáceres Ramos,América,1337.0,15.0,66.82236112835938,62.114041018706345,72.7891156462585,69.28104575163398,46.82539682539682,Control Def | Progresión
Rubén Duarte Sánchez,Pumas UNAM,1444.0,15.0,65.70761523000004,61.55381692907047,65.5328798185941,72.30158730158732,63.69047619047618,Progresión | Ofensivo
Nicolás Andrés Díaz Huincales,"Puebla, Tigres UANL",1349.0,14.0,65.29207085132903,51.97527286776779,70.9750566893424,71.24183006535947,61.11111111111111,Control Def | Progresión | Ofensivo
Erik Antonio Lira Méndez,Cruz Azul,1776.0,19.0,65.21418452438446,62.394153063524264,73.69614512471654,56.76587301587302,50.99206349206349,Acción Def | Control Def
Willer Emilio Ditta Pérez,Cruz Azul,1902.0,20.0,64.78491396558623,49.719887955182074,72.33560090702947,71.24183006535947,55.55555555555555,Control Def | Progresión
Jesús Gilberto Orozco Chiquete,"Cruz Azul, León",844.0,9.0,64.76233711875555,45.96091310087253,69.38775510204081,84.1468253968254,52.18253968253968,Control Def | Progresión
Luis Francisco Romo Barrón,"Guadalajara, Tijuana",1748.0,18.0,64.53694696269312,44.32692617276796,73.24263038548752,76.98412698412699,50.99206349206349,Control Def | Progresión
Andrés Federico Pereira Castelnoble,"Tigres UANL, Toluca",1968.0,21.0,63.14058841927575,48.995460253066746,73.24263038548752,57.12301587301587,65.07936507936508,Control Def | Ofensivo
Igor Lichnovsky Osorio,América,586.0,6.0,62.77074048010008,72.61824269937861,64.62585034013605,46.125116713352,63.095238095238095,Acción Def | Ofensivo
Eduardo Gabriel dos Santos Bauermann,Pachuca,1650.0,17.0,62.73319097754044,78.38307736887857,72.56235827664399,35.85434173669467,33.13492063492063,Acción Def | Control Def
Nathanael Ananias da Silva,Pumas UNAM,1736.0,18.0,62.44994549543954,75.6527898515728,54.6485260770975,66.94677871148458,55.55555555555555,Acción Def
Diego Campillo Del Campo,Guadalajara,1167.0,13.0,62.2882308095652,39.705077433272166,68.48072562358276,75.48611111111111,64.48412698412699,Progresión | Ofensivo
Moises Castillo Mosquera,"Juárez, Querétaro",1213.0,13.0,62.16082984918105,64.9151614668856,71.20181405895691,50.60690943043883,37.698412698412696,Acción Def | Control Def
John Stefan Medina Ramírez,Monterrey,1548.0,17.0,58.50086586358681,46.89461991693229,61.22448979591836,74.0079365079365,44.24603174603175,Progresión
Óscar Gibram Manzanarez Pérez,Querétaro,486.0,5.0,58.374982176778744,70.70414372645611,68.70748299319727,39.77591036414565,18.253968253968253,Acción Def
Unai Bilbao Arteta,Tijuana,819.0,9.0,57.14382304645995,85.03654335297337,42.85714285714285,53.0345471521942,59.92063492063492,Acción Def | Ofensivo
Emilio Lara Contreras,Necaxa,502.0,6.0,56.032711935348836,21.777906564924823,76.19047619047618,64.05228758169933,34.920634920634924,Control Def
Cristian Yonathan Calderón Del Real,Necaxa,1145.0,13.0,55.81662550077502,36.577159599471976,59.18367346938775,71.13095238095238,58.134920634920626,Progresión
Everardo López,Toluca,1063.0,12.0,55.33693362402431,27.2400914388744,73.46938775510203,51.63398692810457,51.38888888888888,Control Def
Bruno Méndez Cittadini,Toluca,1117.0,12.0,55.09480343861682,58.3792137544673,42.857142857142854,70.15873015873017,71.82539682539682,Progresión | Ofensivo
Sergio Ramos García,Monterrey,1799.0,19.0,54.9132975029092,80.50806529508355,26.07709750566893,78.25396825396825,74.00793650793652,Acción Def | Progresión | Ofensivo
Jesús Alberto Angulo Uriarte,Tigres UANL,909.0,11.0,54.4617502173283,63.74802794681091,44.444444444444436,71.98879551820728,41.26984126984127,Acción Def | Progresión
Jose Rodrigo Pachuca Martinez,Puebla,644.0,7.0,54.30802205939845,40.63878424933192,53.061224489795904,73.57609710550886,55.55555555555556,Progresión
Eduardo Águila Castro,"Atlético San Luis, Necaxa",1355.0,14.0,52.39939194068431,79.43430245661484,48.979591836734684,26.011904761904763,52.97619047619047,Acción Def
Juan Manuel Fedorco,Puebla,979.0,11.0,52.12414850997869,35.36334073859429,64.62585034013604,49.5798319327731,42.85714285714286,Balanceado
Tomás Jacob,Necaxa,1122.0,12.0,51.547084350981756,42.55288322225442,65.98639455782312,31.37254901960784,49.404761904761905,Balanceado
Antonio Briseño Vázquez,Toluca,624.0,7.0,51.03938126974927,51.376412634019125,58.04988662131519,32.586367880485525,55.55555555555555,Balanceado
Jesús David Murillo Largacha,"Juárez, Pachuca, Tijuana",1091.0,12.0,50.313180827886704,52.75132275132275,60.31746031746031,36.321195144724555,27.182539682539684,Balanceado
Jesús Alejandro Gómez Molina,Tijuana,1551.0,17.0,49.41293068951718,21.17099713448598,58.50340136054421,57.817460317460316,62.3015873015873,Ofensivo
Ramón Juárez Del Castillo,América,1028.0,11.0,49.08076448970392,48.94877491226376,55.32879818594104,31.652661064425768,56.150793650793645,Balanceado
