player_name,team_name,minutes,matches,Score_Overall,Score_AccionDefensiva,Score_ControlDefensivo,Score_Progresion,Score_ImpactoOfensivo,Flags
José Juan García Manríquez,Juárez,1415.0,15.0,51.42582032813124,82.69957983193278,44.387755102040806,37.88515406162464,31.994047619047613,Acción Def
Romulo Zanre Zwarg,Tigres UANL,741.0,9.0,51.16011948257563,30.56372549019608,63.60544217687074,60.6444099378882,27.67857142857143,Control Def
Gustavo Daniel Cabral Cáceres,Pachuca,1197.0,13.0,50.11821685195817,46.79621848739496,58.84353741496598,36.55797101449275,46.279761904761905,Balanceado
Rafael Eduardo Fernández Inzunza,Tijuana,1829.0,24.0,49.87562307531708,54.23319327731093,48.129251700680264,49.337474120082824,47.916666666666664,Balanceado
Gaddi Axel Aguirre Ledesma,Atlas,1100.0,13.0,49.724139655862345,64.61834733893558,37.24489795918367,56.44257703081232,55.20833333333333,Acción Def
Joaquim Henrique Pereira Silva,"Atlético San Luis, Tigres UANL",3162.0,33.0,49.63318368355246,49.35579004329004,52.72108843537414,41.881469979296064,51.93452380952381,Balanceado
Nathanael Ananias da Silva,"Pumas UNAM, Toluca",2968.0,31.0,49.609951589331374,34.87044817927171,58.33333333333333,47.02122153209109,52.38095238095237,Balanceado
Carlos Joel Salcedo Hernández,Juárez,1227.0,13.0,49.54644357743096,77.34243697478993,24.149659863945573,67.9971988795518,57.44047619047618,Acción Def | Progresión
Juan José Sánchez Purata,Tigres UANL,1066.0,11.0,49.44933190667571,18.343837535014007,67.51700680272108,50.30538302277432,44.19642857142857,Control Def
Matheus Dória Macedo,Atlas,2961.0,31.0,48.96363997674167,49.78327922077922,50.680272108843525,41.17753623188406,54.76190476190476,Balanceado
Miguel Ángel Vázquez García,América,968.0,10.0,48.51678171268507,29.968487394957982,55.78231292517006,62.797619047619044,33.63095238095238,Balanceado
Bruno Amione,Santos Laguna,1539.0,17.0,48.18977591036413,65.2626050420168,41.666666666666664,36.97478991596638,57.291666666666664,Acción Def
Alejandro  Andrade Rivera,Necaxa,508.0,6.0,47.95368147258903,64.49229691876752,42.176870748299315,44.53781512605041,39.43452380952381,Acción Def
Efraín Orona Zavala,Puebla,2956.0,31.0,47.21309828279138,45.969887955182074,44.047619047619044,51.29658385093168,56.398809523809526,Balanceado
Jose Rodrigo Pachuca Martinez,Puebla,1450.0,18.0,47.0249349739896,60.78081232492997,43.36734693877551,39.84593837535014,43.452380952380956,Balanceado
Ramiro Franco Zambrano,"Mazatlán, Tijuana",764.0,10.0,46.87564264836369,42.9936974789916,35.37414965986394,74.10973084886129,53.86904761904761,Progresión
José Joaquín Esquivel Martínez,Mazatlán,726.0,9.0,46.243997599039616,31.85924369747899,43.707482993197274,59.94397759103642,66.22023809523809,Ofensivo
Agustín Oliveros Cano,Necaxa,2421.0,25.0,45.827581032412965,55.528711484593835,34.69387755102041,55.25210084033613,52.82738095238095,Balanceado
Julio César Domínguez Juárez,Atlético San Luis,1989.0,23.0,45.71803721488595,47.05532212885154,40.986394557823125,52.030812324929975,51.04166666666666,Balanceado
Juan Manuel Fedorco,Puebla,873.0,11.0,45.517582032813124,83.85504201680672,38.605442176870746,20.72829131652661,30.357142857142854,Acción Def
Gilberto Sepúlveda López,Guadalajara,2402.0,25.0,45.513419498234065,24.751400560224088,58.33333333333332,38.29451345755694,54.166666666666664,Balanceado
Unai Bilbao Arteta,Tijuana,2889.0,31.0,45.310114263096544,42.608543417366946,36.05442176870748,62.85196687370601,58.63095238095237,Ofensivo
Franco Matías Russo Panos,Querétaro,2603.0,27.0,45.13529542251683,40.227591036414566,40.816326530612244,50.44513457556936,66.22023809523809,Ofensivo
Emanuel Gularte Méndez,"Mazatlán, Puebla",2648.0,28.0,44.87012957356856,58.78501400560224,44.72789115646258,23.892339544513458,52.67857142857142,Balanceado
Luis Gabriel Rey Mejía,Guadalajara,735.0,9.0,44.5094287715086,26.712184873949585,54.59183673469387,37.60504201680672,57.44047619047618,Balanceado
Facundo Ezequiel Almada,Mazatlán,1819.0,20.0,44.31860244097639,65.99789915966386,29.59183673469387,50.490196078431374,44.04761904761905,Acción Def
Jesús Alberto Alcantar Rodríguez,Necaxa,545.0,7.0,44.29234193677471,51.432072829131656,37.92517006802721,49.36974789915967,44.94047619047618,Balanceado
Daniel Moisés Guillén Moreno,"Atlético San Luis, Monterrey",615.0,7.0,43.86166966786714,43.62394957983193,42.68707482993197,47.89915966386554,41.66666666666667,Balanceado
Edson Antonio Gutiérrez Moreno,"Monterrey, Santos Laguna, Tigres UANL",1740.0,19.0,43.51628151260504,51.081932773109244,32.142857142857146,68.90756302521008,25.0,Progresión
Óscar Haret Ortega Gatica,Juárez,682.0,7.0,43.28693977591037,47.54551820728292,52.38095238095238,26.050420168067223,26.19047619047619,Balanceado
