player_id,player_name,team_name,matches,minutes,primary_position,primary_position_share,Score_Effectiveness,Score_Area_Domination,Score_Foot_Play,Score_Outside_Box,Score_Overall,Flag_Effectiveness,Flag_Area_Domination,Flag_Foot_Play,Flag_Outside_Box,Flags
232966,JosÃ© RaÃºl Rangel Aguilar,Guadalajara,33.0,3213.0,Goalkeeper,1.0,85.26785714285714,69.64285714285714,59.28571428571429,83.92857142857142,78.04464285714285,True,False,False,True,Shot Stopper | Sweeper
78134,Kevin Leonardo Mier Robles,Cruz Azul,41.0,3954.0,Goalkeeper,1.0,62.58928571428571,82.14285714285714,75.00000000000001,96.42857142857143,73.43749999999999,False,True,True,True,Dominante | Con Pies | Sweeper
28561,Nahuel Ignacio GuzmÃ¡n Palomeque,Tigres UANL,34.0,3334.0,Goalkeeper,1.0,78.125,55.357142857142854,37.85714285714286,91.07142857142858,69.47321428571429,True,False,False,True,Shot Stopper | Sweeper
34263,Alfonso Blanco AntÃºnez,LeÃ³n,27.0,2645.0,Goalkeeper,1.0,85.80357142857143,67.85714285714286,42.85714285714286,30.357142857142858,67.45535714285715,True,False,False,False,Shot Stopper
27847,Esteban Andrada,Monterrey,28.0,2717.0,Goalkeeper,1.0,57.410714285714285,83.92857142857143,58.57142857142857,83.92857142857142,66.86607142857143,False,True,False,True,Dominante | Sweeper
28522,Rodolfo Cota Robles,AmÃ©rica,5.0,490.0,Goalkeeper,1.0,85.44642857142857,62.5,35.0,35.714285714285715,65.83035714285714,True,False,False,False,Shot Stopper
27893,JosÃ© Antonio RodrÃ­guez Romero,Tijuana,25.0,2417.0,Goalkeeper,1.0,65.26785714285714,25.0,75.0,100.0,63.88392857142857,True,False,True,True,Shot Stopper | Con Pies | Sweeper
25348,Tiago Luis Volpi,Toluca,21.0,2023.0,Goalkeeper,1.0,68.48214285714286,51.78571428571429,70.00000000000001,51.78571428571428,62.86607142857143,True,False,True,False,Shot Stopper | Con Pies
26388,JosÃ© de JesÃºs Corona RodrÃ­guez,Tijuana,10.0,982.0,Goalkeeper,1.0,55.98214285714286,73.21428571428572,40.714285714285715,91.07142857142858,62.401785714285715,False,True,False,True,Dominante | Sweeper
27762,Luis Ezequiel Unsain,Necaxa,36.0,3514.0,Goalkeeper,1.0,63.66071428571429,35.71428571428571,69.28571428571428,69.64285714285714,59.8125,False,False,True,False,Con Pies
26303,Hugo Alfonso GonzÃ¡lez DurÃ¡n,"MazatlÃ¡n, Tigres UANL",34.0,3283.0,Goalkeeper,1.0,74.01785714285714,32.142857142857146,51.42857142857143,51.785714285714285,58.91964285714286,True,False,False,False,Shot Stopper
423919,Pablo Emiliano Lara Nevarez,Pumas UNAM,7.0,690.0,Goalkeeper,1.0,54.37500000000001,71.42857142857143,60.71428571428572,44.64285714285714,57.27678571428572,False,True,True,False,Dominante | Con Pies
36945,Luis Alberto CÃ¡rdenas LÃ³pez,Monterrey,16.0,1558.0,Goalkeeper,1.0,47.41071428571429,83.92857142857142,26.42857142857143,66.07142857142857,54.36607142857143,False,True,False,False,Dominante
36949,Julio JosÃ© GonzÃ¡lez Vela-Alvizu,"Atlas, Puebla, Pumas UNAM",21.0,2020.0,Goalkeeper,1.0,46.517857142857146,75.0,33.57142857142857,71.42857142857143,54.00892857142857,False,True,False,True,Dominante | Sweeper
26267,SebastiÃ¡n Jurado Roca,JuÃ¡rez,22.0,2133.0,Goalkeeper,1.0,53.48214285714286,39.285714285714285,45.71428571428571,71.42857142857143,52.16964285714286,False,False,False,True,Sweeper
33098,Luis Ãngel MalagÃ³n VelÃ¡zquez,AmÃ©rica,42.0,4016.0,Goalkeeper,1.0,53.83928571428572,64.28571428571429,44.28571428571429,8.928571428571427,47.758928571428584,False,False,False,False,Balanceado
131123,AndrÃ©s Eduardo SÃ¡nchez RodrÃ­guez,AtlÃ©tico San Luis,34.0,3197.0,Goalkeeper,1.0,59.73214285714286,33.92857142857143,35.714285714285715,33.92857142857143,47.098214285714285,False,False,False,False,Balanceado
