player_id,player_name,team_name,matches,minutes,primary_position,primary_position_share,Score_CompromisoDef,Score_Desequilibrio,Score_Finalizacion,Score_ZonaInfluencia,Score_Overall,Flag_CompromisoDef,Flag_Desequilibrio,Flag_Finalizacion,Flag_ZonaInfluencia,Flags,lane_bias_index,lane_influence_side,Lane_Profile
26301,Ernesto Alexis Vega Rojas,Toluca,11.0,896.0,Left Wing,0.6417410714285714,55.806938159879344,82.98368298368298,84.87179487179488,98.2051282051282,80.39798436857261,False,True,True,True,Desequilibrio | Finalización | Zona Influencia,0.0292551243626865,Interior,Interior (Mixto)
25342,Helio Junio Nunes de Castro,Toluca,9.0,647.0,Right Wing,0.6306027820710973,49.92458521870287,84.58624708624708,77.82051282051282,97.43589743589743,77.55164198546551,False,True,True,True,Desequilibrio | Finalización | Zona Influencia,-0.5650305859010417,Exterior,Exterior (Marcado)
30458,Alejandro Zendejas Saavedra,AmÃ©rica,12.0,1099.0,Right Wing,0.4076433121019108,58.82352941176471,79.67657342657341,73.97435897435898,87.05128205128204,74.90150658165363,False,True,True,True,Desequilibrio | Finalización | Zona Influencia,-0.2849695193902459,Exterior,Exterior (Moderado)
8357,Oussama Idrissi,Pachuca,10.0,660.0,Left Wing,1.0,67.72247360482655,70.93531468531468,78.20512820512822,77.3076923076923,73.42954716851776,True,True,True,True,Compromiso Def | Desequilibrio | Finalización | Zona Influencia,-0.9160600305511704,Exterior,Exterior (Marcado)
30736,Paul Brian RodrÃ­guez Bravo,AmÃ©rica,13.0,961.0,Left Wing,0.554630593132154,57.01357466063349,74.73776223776224,73.97435897435898,76.7948717948718,71.27247017688195,False,True,True,True,Desequilibrio | Finalización | Zona Influencia,-0.5279944122095837,Exterior,Exterior (Marcado)
31985,Jonathan Ozziel Herrera Morales,Tigres UANL,14.0,1026.0,Left Midfield,0.5760233918128655,69.23076923076924,53.001165501165495,92.17948717948718,47.17948717948717,67.127331002331,True,False,True,False,Compromiso Def | Finalización,-0.1869284516958079,Exterior,Exterior (Moderado)
90826,Pedro Jeampierre Vite Uca,Pumas UNAM,8.0,731.0,Right Wing,0.5348837209302325,66.96832579185521,71.02255174544332,56.15384615384615,68.07692307692308,65.30925057696851,True,True,False,False,Compromiso Def | Desequilibrio,-0.9999999956424314,Exterior,Exterior (Marcado)
22915,Diego Lainez Leyva,Tigres UANL,20.0,1698.0,Right Wing,0.5924617196702002,62.59426847662142,74.25699300699301,39.1025641025641,67.17948717948718,60.31649355546415,False,True,False,False,Desequilibrio,0.5058533812901687,Interior,Interior (Marcado)
3666,Robert Kenedy Nunes do Nascimento,Pachuca,9.0,629.0,Right Wing,1.0,78.73303167420814,56.626506024096386,47.94871794871794,64.1025641025641,59.565883443275354,True,False,False,False,Compromiso Def,0.0528028088943365,Interior,Interior (Mixto)
29408,JesÃºs Ricardo Angulo Uriarte,Toluca,19.0,1411.0,Right Wing,0.3756201275690999,37.254901960784316,61.82983682983683,64.87179487179488,68.2051282051282,58.78373097490744,False,False,False,True,Zona Influencia,0.0664138018412775,Interior,Interior (Mixto)
