player_id,match_id,season,minutes,starter,position_match,team,player_name,primary_position
36144,4004116,2025_2026,96,True,Left Center Back,Puebla,Nicolás Andrés Díaz Huincales,Left Center Back
43707,4004116,2025_2026,79,True,Center Forward,Puebla,Ricardo Marín Sánchez,Center Forward
28480,4004116,2025_2026,96,True,Center Forward,Necaxa,Tomás Oscar Badaloni,Right Center Forward
182084,4004116,2025_2026,58,True,Left Midfield,Necaxa,Raúl Sánchez Sánchez,Left Wing Back
26312,4004116,2025_2026,76,True,Left Back,Necaxa,Cristian Yonathan Calderón Del Real,Left Center Back
424910,4004116,2025_2026,45,True,Right Center Back,Puebla,Juan Manuel Fedorco,Center Back
27860,4004116,2025_2026,96,True,Left Defensive Midfield,Puebla,Franco David Moyano,Left Defensive Midfield
36949,4004116,2025_2026,96,True,Goalkeeper,Puebla,Julio José González Vela-Alvizu,Goalkeeper
34261,4004116,2025_2026,88,True,Right Back,Puebla,Jesús Andrés Rivas Gutiérrez,Right Back
50271,4004116,2025_2026,96,True,Left Midfield,Puebla,Emiliano Gómez Dutra,Left Wing
31462,4004116,2025_2026,96,True,Left Defensive Midfield,Necaxa,José Iván Rodríguez Rebollar,Center Defensive Midfield
27762,4004116,2025_2026,96,True,Goalkeeper,Necaxa,Luis Ezequiel Unsain,Goalkeeper
406131,4004116,2025_2026,79,True,Right Midfield,Puebla,Owen de Jesús González Ojeda,Left Attacking Midfield
139124,4004116,2025_2026,96,True,Right Back,Necaxa,Kevin Duvan Ante Rosero,Right Wing Back
131316,4004116,2025_2026,65,True,Center Attacking Midfield,Puebla,Raúl Iram Castillo González,Left Center Forward
15872,4004054,2025_2026,97,True,Left Defensive Midfield,Guadalajara,Érick Gabriel Gutiérrez Galaviz,Left Defensive Midfield
232966,4004054,2025_2026,97,True,Goalkeeper,Guadalajara,José Raúl Rangel Aguilar,Goalkeeper
26375,4004054,2025_2026,97,True,Right Attacking Midfield,Guadalajara,Roberto Carlos Alvarado Hernández,Right Attacking Midfield
26386,4004054,2025_2026,97,True,Center Back,Guadalajara,Luis Francisco Romo Barrón,Center Back
142739,4004054,2025_2026,84,True,Left Center Forward,León,Ettson Ayon Calderón,Center Forward
35477,4004054,2025_2026,68,True,Center Forward,Guadalajara,Cade Dylan Cowell,Center Forward
198553,4004054,2025_2026,97,True,Goalkeeper,León,Oscar García,Goalkeeper
35738,4004054,2025_2026,97,True,Center Defensive Midfield,León,Rodrigo Eduardo Echeverría Sáez,Left Defensive Midfield
48924,4004054,2025_2026,67,True,Left Wing Back,Guadalajara,Bryan Alonso González Olivan,Left Wing Back
29597,4004054,2025_2026,97,True,Right Center Back,León,Jaine Stiven Barreiro Solis,Right Center Back
43554,4004054,2025_2026,70,True,Right Back,León,Iván Jared Moreno Füguemann,Right Wing
115623,4004054,2025_2026,97,True,Right Center Back,Guadalajara,Daniel Aguirre,Right Center Back
24124,4004054,2025_2026,82,True,Right Defensive Midfield,Guadalajara,Omar Nicolás Govea García,Right Defensive Midfield
5695,4004054,2025_2026,97,True,Right Center Forward,León,James David Rodríguez Rubio,Center Attacking Midfield
431303,4004054,2025_2026,84,True,Left Center Midfield,León,Ángel Tadeo Estrada Meza,Left Center Midfield
33097,4004054,2025_2026,97,True,Left Back,León,Salvador Reyes Chávez,Left Back
30538,4004054,2025_2026,97,True,Right Wing Back,Guadalajara,Richard Ledezma,Right Wing Back
234320,4004054,2025_2026,97,True,Right Center Midfield,León,Nicolas Fonseca,Right Defensive Midfield
35545,4004054,2025_2026,97,True,Left Center Back,León,Adonis Uriel Frías,Left Center Back
47213,4004054,2025_2026,87,True,Left Center Back,Guadalajara,José Castillo Pérez,Left Center Back
30457,4004054,2025_2026,89,True,Center Attacking Midfield,León,Fernando Beltrán Cruz,Center Attacking Midfield
27901,4004054,2025_2026,81,True,Left Attacking Midfield,Guadalajara,Alan Pulido Izaguirre,Left Attacking Midfield
28419,4004046,2025_2026,88,True,Right Back,Toluca,Diego Armando Barbosa Zaragoza,Right Back
276101,4004046,2025_2026,64,True,Right Wing,Toluca,Juan Pablo Domínguez Chonteco,Left Midfield
132486,4004046,2025_2026,59,True,Left Wing,Necaxa,Pavel Uriel Pérez Hernández,Left Wing
52104,4004046,2025_2026,95,True,Right Defensive Midfield,Toluca,Franco Agustín Romero,Right Defensive Midfield
28815,4004046,2025_2026,95,True,Left Defensive Midfield,Necaxa,Agustín Palavecino,Left Center Midfield
32916,4004046,2025_2026,95,True,Center Back,Necaxa,Diego Eduardo De Buen Juárez,Right Defensive Midfield
26268,4004046,2025_2026,95,True,Right Center Back,Necaxa,Alexis Francisco Peña López,Center Back
89887,4004046,2025_2026,95,True,Center Forward,Necaxa,Diber Armando Cambindo Abonia,Center Forward
43308,4004046,2025_2026,59,True,Left Center Back,Necaxa,Jesús Alberto Alcantar Rodríguez,Left Center Back
25135,4004046,2025_2026,95,True,Right Center Back,Toluca,Luan Garcia Teixeira,Right Center Back
26301,4004046,2025_2026,87,True,Left Wing,Toluca,Ernesto Alexis Vega Rojas,Left Wing
5576,4004046,2025_2026,95,True,Left Back,Toluca,Jesús Daniel Gallardo Vasconcelos,Left Back
26312,4004046,2025_2026,82,True,Left Wing Back,Necaxa,Cristian Yonathan Calderón Del Real,Left Center Back
37592,4004046,2025_2026,95,True,Goalkeeper,Toluca,Luis Manuel García Palomera,Goalkeeper
